,PHOT,WTOF,WTON,HROR
2015-01-12 00:00:00+00:00,0,0.279431998,0.65169441,0.351934849
2015-01-12 01:00:00+00:00,0,0.279262096,0.625551443,0.350459117
2015-01-12 02:00:00+00:00,0,0.279518086,0.60184344,0.348163533
2015-01-12 03:00:00+00:00,0,0.279915993,0.595067131,0.345102755
2015-01-12 04:00:00+00:00,0,0.279462239,0.617072318,0.341331439
2015-01-12 05:00:00+00:00,0,0.277873215,0.665936602,0.341276782
2015-01-12 06:00:00+00:00,0,0.278129255,0.689171396,0.338653258
2015-01-12 07:00:00+00:00,0.002184056,0.276398827,0.706456759,0.338981198
2015-01-12 08:00:00+00:00,0.014906445,0.277222416,0.717656144,0.338543944
2015-01-12 09:00:00+00:00,0.037992821,0.279038898,0.751877726,0.338052033
2015-01-12 10:00:00+00:00,0.056623822,0.278727378,0.773975552,0.337614779
2015-01-12 11:00:00+00:00,0.062981276,0.27614663,0.779197832,0.336521644
2015-01-12 12:00:00+00:00,0.059979622,0.261369975,0.782840558,0.335100568
2015-01-12 13:00:00+00:00,0.039814259,0.256522584,0.781252619,0.335647136
2015-01-12 14:00:00+00:00,0.017150259,0.266280195,0.780895425,0.335428509
2015-01-12 15:00:00+00:00,0.003751601,0.275185621,0.764040002,0.333679493
2015-01-12 16:00:00+00:00,6.03E-05,0.277426326,0.751280388,0.331329252
2015-01-12 17:00:00+00:00,0,0.281792771,0.748434816,0.331001312
2015-01-12 18:00:00+00:00,0,0.285449749,0.757902761,0.330454744
2015-01-12 19:00:00+00:00,0,0.286838433,0.756253672,0.32968955
2015-01-12 20:00:00+00:00,0,0.274764932,0.74575087,0.329197639
2015-01-12 21:00:00+00:00,0,0.277004663,0.704708398,0.327066025
2015-01-12 22:00:00+00:00,0,0.258842707,0.657493258,0.326519458
2015-01-12 23:00:00+00:00,0,0.238558898,0.641768645,0.311907885
2015-01-13 00:00:00+00:00,0,0.238535105,0.641761665,0.311907885
2015-01-13 01:00:00+00:00,0,0.238511316,0.641754685,0.311907885
2015-01-13 02:00:00+00:00,0,0.238487532,0.641747705,0.311907885
2015-01-13 03:00:00+00:00,0,0.238463753,0.641740726,0.311907885
2015-01-13 04:00:00+00:00,0,0.238439978,0.641733746,0.311907885
2015-01-13 05:00:00+00:00,0,0.238416208,0.641726767,0.311907885
2015-01-13 06:00:00+00:00,0,0.238392443,0.641719788,0.311907885
2015-01-13 07:00:00+00:00,0,0.238368683,0.641712808,0.311907885
2015-01-13 08:00:00+00:00,0,0.238344927,0.64170583,0.311907885
2015-01-13 09:00:00+00:00,0,0.238321177,0.641698851,0.311907885
2015-01-13 10:00:00+00:00,0,0.23829743,0.641691872,0.311907885
2015-01-13 11:00:00+00:00,0,0.238273689,0.641684894,0.311907885
2015-01-13 12:00:00+00:00,0,0.238249952,0.641677915,0.311907885
2015-01-13 13:00:00+00:00,0,0.23822622,0.641670937,0.311907885
2015-01-13 14:00:00+00:00,0,0.238202493,0.641663959,0.311907885
2015-01-13 15:00:00+00:00,0,0.238178771,0.641656981,0.311907885
2015-01-13 16:00:00+00:00,0,0.238155053,0.641650004,0.311907885
2015-01-13 17:00:00+00:00,0,0.23813134,0.641643026,0.311907885
2015-01-13 18:00:00+00:00,0,0.238107632,0.641636049,0.311907885
2015-01-13 19:00:00+00:00,0,0.238083928,0.641629072,0.311907885
2015-01-13 20:00:00+00:00,0,0.238060229,0.641622095,0.311907885
2015-01-13 21:00:00+00:00,0,0.238036535,0.641615118,0.311907885
2015-01-13 22:00:00+00:00,0,0.238012846,0.641608141,0.311907885
2015-01-13 23:00:00+00:00,0,0.121114094,0.449712738,0.311907885
2015-01-14 00:00:00+00:00,0,0.155581939,0.428198807,0.311907885
2015-01-14 01:00:00+00:00,0,0.157261874,0.397868574,0.311907885
2015-01-14 02:00:00+00:00,0,0.164027874,0.400734751,0.311907885
2015-01-14 03:00:00+00:00,0,0.173617573,0.419265674,0.311907885
2015-01-14 04:00:00+00:00,0,0.173600533,0.458497897,0.311907885
2015-01-14 05:00:00+00:00,0,0.141239995,0.512956242,0.311907885
2015-01-14 06:00:00+00:00,0,0.151957971,0.580391845,0.311907885
2015-01-14 07:00:00+00:00,0.004427281,0.174254765,0.597416537,0.311907885
2015-01-14 08:00:00+00:00,0.035920421,0.201064614,0.590780927,0.311907885
2015-01-14 09:00:00+00:00,0.081096834,0.212057234,0.576908096,0.311907885
2015-01-14 10:00:00+00:00,0.099454968,0.20215396,0.565010586,0.311907885
2015-01-14 11:00:00+00:00,0.093292541,0.232905997,0.55503371,0.311907885
2015-01-14 12:00:00+00:00,0.084397526,0.23923426,0.512637128,0.311907885
2015-01-14 13:00:00+00:00,0.058791973,0.241186014,0.4482434,0.311907885
2015-01-14 14:00:00+00:00,0.023964073,0.241726684,0.391641492,0.313784434
2015-01-14 15:00:00+00:00,0.003656881,0.275566846,0.384229496,0.316134674
2015-01-14 16:00:00+00:00,7.37E-05,0.206125348,0.386705893,0.317446436
2015-01-14 17:00:00+00:00,0,0.200744033,0.38538285,0.317774377
2015-01-14 18:00:00+00:00,0,0.209046342,0.383683969,0.320999125
2015-01-14 19:00:00+00:00,0,0.290971525,0.391879822,0.320561871
2015-01-14 20:00:00+00:00,0,0.300673862,0.397171358,0.320944469
2015-01-14 21:00:00+00:00,0,0.298105818,0.395226433,0.323130739
2015-01-14 22:00:00+00:00,0,0.302447079,0.386960851,0.325207696
2015-01-14 23:00:00+00:00,0,0.306082801,0.382679156,0.32564495
2015-01-15 00:00:00+00:00,0,0.307039252,0.385701994,0.327175339
2015-01-15 01:00:00+00:00,0,0.303766767,0.406920834,0.324825098
2015-01-15 02:00:00+00:00,0,0.295138967,0.448897392,0.322310888
2015-01-15 03:00:00+00:00,0,0.287922306,0.498067951,0.317337123
2015-01-15 04:00:00+00:00,0,0.28775258,0.550045723,0.31569742
2015-01-15 05:00:00+00:00,0,0.288710484,0.607761731,0.314658942
2015-01-15 06:00:00+00:00,0,0.285159623,0.636813963,0.315752077
2015-01-15 07:00:00+00:00,0.004165536,0.265690764,0.667416534,0.316407958
2015-01-15 08:00:00+00:00,0.025850308,0.256789706,0.677391419,0.315205509
2015-01-15 09:00:00+00:00,0.06333294,0.283243518,0.687612054,0.316134674
2015-01-15 10:00:00+00:00,0.092932925,0.288285591,0.695666633,0.314768255
2015-01-15 11:00:00+00:00,0.096140244,0.295720436,0.703673228,0.314986882
2015-01-15 12:00:00+00:00,0.085565441,0.296113551,0.681433945,0.314057718
2015-01-15 13:00:00+00:00,0.059768931,0.296647365,0.670420111,0.314713599
2015-01-15 14:00:00+00:00,0.027041537,0.296195612,0.667973802,0.316517272
2015-01-15 15:00:00+00:00,0.004593959,0.296870077,0.667706963,0.318484915
2015-01-15 16:00:00+00:00,0.000147327,0.298388904,0.665342702,0.320452558
2015-01-15 17:00:00+00:00,0,0.29779639,0.684942533,0.320507215
2015-01-15 18:00:00+00:00,0,0.298611219,0.706844209,0.320233931
2015-01-15 19:00:00+00:00,0,0.296893128,0.695011111,0.319851334
2015-01-15 20:00:00+00:00,0,0.285045723,0.677617333,0.317446436
2015-01-15 21:00:00+00:00,0,0.267854426,0.643876371,0.315588107
2015-01-15 22:00:00+00:00,0,0.230833015,0.624427319,0.312636642
